store,date,baguette,oil,tomato,pickle,cheese,sauce,bacon,sausage,pepperoni,chicken,water,soda
store_1,2021-05-17,60.0,234.0,242.0,242.0,335.0,423.0,275.0,242.0,62.0,114.0,57,248
store_2,2021-05-17,13.0,52.0,32.0,32.0,78.0,144.0,65.0,32.0,106.0,26.0,19,79
store_3,2021-05-17,23.0,84.0,51.0,51.0,45.0,76.0,22.0,51.0,24.0,38.0,53,45
store_4,2021-05-17,101.0,222.0,321.0,321.0,364.0,399.0,263.0,321.0,50.0,20.0,198,33
store_5,2021-05-17,129.0,444.0,387.0,387.0,518.0,742.0,389.0,387.0,262.0,186.0,404,264
store_6,2021-05-17,56.0,406.0,140.0,140.0,126.0,287.0,70.0,140.0,28.0,294.0,116,73
store_7,2021-05-17,169.0,738.0,404.0,404.0,332.0,563.0,163.0,404.0,62.0,400.0,358,79
store_8,2021-05-17,105.0,276.0,238.0,238.0,245.0,362.0,140.0,238.0,168.0,66.0,237,58
store_9,2021-05-17,9.0,320.0,154.0,154.0,397.0,664.0,388.0,154.0,232.0,302.0,91,242
store_0,2021-05-18,38.0,154.0,218.0,218.0,460.0,637.0,422.0,218.0,276.0,78.0,31,27
store_1,2021-05-18,23.0,246.0,170.0,170.0,294.0,417.0,271.0,170.0,46.0,200.0,53,39
store_2,2021-05-18,57.0,128.0,114.0,114.0,78.0,106.0,21.0,114.0,42.0,14.0,15,22
store_3,2021-05-18,26.0,72.0,71.0,71.0,68.0,82.0,42.0,71.0,8.0,20.0,51,51
store_4,2021-05-18,21.0,258.0,132.0,132.0,235.0,377.0,214.0,132.0,68.0,216.0,179,124
store_5,2021-05-18,151.0,560.0,484.0,484.0,534.0,682.0,383.0,484.0,38.0,258.0,205,406
store_6,2021-05-18,13.0,392.0,42.0,42.0,78.0,294.0,65.0,42.0,66.0,366.0,101,145
store_7,2021-05-18,139.0,746.0,360.0,360.0,313.0,557.0,174.0,360.0,20.0,468.0,139,375
store_8,2021-05-18,74.0,258.0,186.0,186.0,233.0,371.0,159.0,186.0,166.0,110.0,122,113
store_9,2021-05-18,341.0,810.0,689.0,689.0,355.0,419.0,14.0,689.0,0.0,128.0,270,108
store_0,2021-05-19,155.0,386.0,399.0,399.0,408.0,521.0,253.0,399.0,150.0,76.0,267,1
store_1,2021-05-19,34.0,238.0,210.0,210.0,328.0,423.0,294.0,210.0,20.0,170.0,102,127
store_2,2021-05-19,25.0,82.0,80.0,80.0,99.0,129.0,74.0,80.0,28.0,32.0,80,18
store_3,2021-05-19,16.0,68.0,50.0,50.0,59.0,84.0,43.0,50.0,14.0,36.0,8,6
store_4,2021-05-19,144.0,352.0,333.0,333.0,267.0,332.0,123.0,333.0,66.0,64.0,198,46
store_5,2021-05-19,189.0,542.0,546.0,546.0,568.0,693.0,379.0,546.0,86.0,164.0,357,472
store_6,2021-05-19,63.0,284.0,161.0,161.0,200.0,346.0,137.0,161.0,134.0,158.0,107,110
store_7,2021-05-19,19.0,282.0,202.0,202.0,507.0,789.0,488.0,202.0,320.0,244.0,428,357
store_8,2021-05-19,19.0,320.0,77.0,77.0,148.0,340.0,129.0,77.0,102.0,282.0,113,37
store_9,2021-05-19,142.0,402.0,402.0,402.0,471.0,623.0,329.0,402.0,186.0,118.0,134,86
store_0,2021-05-20,123.0,252.0,406.0,406.0,513.0,586.0,390.0,406.0,140.0,6.0,35,5
store_1,2021-05-20,117.0,390.0,286.0,286.0,245.0,347.0,128.0,286.0,48.0,156.0,1,185
store_2,2021-05-20,34.0,156.0,75.0,75.0,49.0,94.0,15.0,75.0,2.0,88.0,69,10
store_3,2021-05-20,32.0,106.0,68.0,68.0,42.0,65.0,10.0,68.0,4.0,42.0,42,28
store_4,2021-05-20,82.0,296.0,199.0,199.0,223.0,360.0,141.0,199.0,142.0,132.0,211,163
store_5,2021-05-20,183.0,486.0,569.0,569.0,626.0,723.0,443.0,569.0,74.0,120.0,220,94
store_6,2021-05-20,69.0,304.0,178.0,178.0,203.0,340.0,134.0,178.0,108.0,166.0,10,143
store_7,2021-05-20,194.0,510.0,578.0,578.0,594.0,675.0,400.0,578.0,40.0,122.0,444,204
store_8,2021-05-20,71.0,272.0,172.0,172.0,214.0,362.0,143.0,172.0,166.0,130.0,241,202
store_9,2021-05-20,118.0,276.0,294.0,294.0,450.0,686.0,332.0,294.0,432.0,40.0,129,238
store_0,2021-05-21,5.0,430.0,30.0,30.0,166.0,497.0,161.0,30.0,242.0,420.0,236,184
store_1,2021-05-21,43.0,208.0,189.0,189.0,313.0,438.0,270.0,189.0,128.0,122.0,147,30
store_2,2021-05-21,0.0,42.0,34.0,34.0,97.0,147.0,97.0,34.0,58.0,42.0,80,2
store_3,2021-05-21,7.0,68.0,35.0,35.0,53.0,84.0,46.0,35.0,8.0,54.0,58,27
store_4,2021-05-21,21.0,234.0,83.0,83.0,198.0,389.0,177.0,83.0,190.0,192.0,55,229
store_5,2021-05-21,61.0,398.0,342.0,342.0,564.0,765.0,503.0,342.0,126.0,276.0,292,192
store_6,2021-05-21,26.0,204.0,124.0,124.0,241.0,388.0,215.0,124.0,142.0,152.0,232,157
store_7,2021-05-21,183.0,614.0,430.0,430.0,404.0,621.0,221.0,430.0,186.0,248.0,443,448
store_8,2021-05-21,62.0,246.0,233.0,233.0,298.0,377.0,236.0,233.0,36.0,122.0,247,69
store_9,2021-05-21,47.0,362.0,209.0,209.0,394.0,645.0,347.0,209.0,234.0,268.0,162,235
store_0,2021-05-22,69.0,312.0,282.0,282.0,413.0,556.0,344.0,282.0,112.0,174.0,9,78
store_1,2021-05-22,50.0,312.0,181.0,181.0,246.0,386.0,196.0,181.0,68.0,212.0,228,96
store_2,2021-05-22,33.0,114.0,86.0,86.0,80.0,111.0,47.0,86.0,14.0,48.0,62,23
store_3,2021-05-22,9.0,70.0,27.0,27.0,42.0,83.0,33.0,27.0,30.0,52.0,0,46
store_4,2021-05-22,113.0,338.0,267.0,267.0,239.0,339.0,126.0,267.0,88.0,112.0,21,223
store_5,2021-05-22,140.0,700.0,379.0,379.0,371.0,614.0,231.0,379.0,66.0,420.0,48,292
store_6,2021-05-22,76.0,232.0,202.0,202.0,255.0,374.0,179.0,202.0,158.0,80.0,239,103
store_7,2021-05-22,117.0,564.0,250.0,250.0,316.0,648.0,199.0,250.0,334.0,330.0,68,243
store_8,2021-05-22,18.0,82.0,188.0,188.0,379.0,459.0,361.0,188.0,114.0,46.0,159,85
store_9,2021-05-22,129.0,500.0,337.0,337.0,370.0,574.0,241.0,337.0,166.0,242.0,157,97
store_0,2021-05-23,95.0,292.0,247.0,247.0,363.0,568.0,268.0,247.0,308.0,102.0,43,70
store_1,2021-05-23,74.0,264.0,230.0,230.0,295.0,410.0,221.0,230.0,114.0,116.0,137,248
store_2,2021-05-23,28.0,104.0,86.0,86.0,91.0,118.0,63.0,86.0,6.0,48.0,14,4
store_3,2021-05-23,10.0,68.0,25.0,25.0,40.0,84.0,30.0,25.0,40.0,48.0,34,12
store_4,2021-05-23,26.0,272.0,126.0,126.0,219.0,374.0,193.0,126.0,90.0,220.0,195,52
store_5,2021-05-23,225.0,820.0,497.0,497.0,345.0,556.0,120.0,497.0,52.0,370.0,300,244
store_6,2021-05-23,57.0,192.0,190.0,190.0,282.0,394.0,225.0,190.0,146.0,78.0,24,97
store_7,2021-05-23,36.0,272.0,304.0,304.0,597.0,794.0,561.0,304.0,194.0,200.0,30,71
store_8,2021-05-23,9.0,68.0,147.0,147.0,354.0,466.0,345.0,147.0,174.0,50.0,122,223
store_9,2021-05-23,115.0,460.0,380.0,380.0,448.0,596.0,333.0,380.0,66.0,230.0,168,74
store_0,2021-05-24,7.0,90.0,157.0,157.0,462.0,669.0,455.0,157.0,338.0,76.0,61,226
store_1,2021-05-24,105.0,306.0,260.0,260.0,274.0,391.0,169.0,260.0,138.0,96.0,218,142
store_2,2021-05-24,7.0,116.0,20.0,20.0,40.0,112.0,33.0,20.0,42.0,102.0,81,46
store_3,2021-05-24,5.0,46.0,33.0,33.0,64.0,95.0,59.0,33.0,26.0,36.0,51,58
store_4,2021-05-24,73.0,306.0,235.0,235.0,264.0,357.0,191.0,235.0,26.0,160.0,251,153
store_5,2021-05-24,164.0,756.0,422.0,422.0,362.0,586.0,198.0,422.0,20.0,428.0,363,199
store_6,2021-05-24,93.0,320.0,209.0,209.0,201.0,330.0,108.0,209.0,124.0,134.0,95,133
store_7,2021-05-24,142.0,390.0,384.0,384.0,512.0,735.0,370.0,384.0,340.0,106.0,158,269
store_8,2021-05-24,56.0,268.0,179.0,179.0,239.0,366.0,183.0,179.0,98.0,156.0,37,105
store_9,2021-05-24,133.0,454.0,269.0,269.0,322.0,599.0,189.0,269.0,366.0,188.0,207,198
store_0,2021-05-25,19.0,358.0,110.0,110.0,268.0,533.0,249.0,110.0,210.0,320.0,53,327
store_1,2021-05-25,114.0,252.0,262.0,262.0,293.0,416.0,179.0,262.0,222.0,24.0,69,115
store_2,2021-05-25,8.0,72.0,49.0,49.0,91.0,136.0,83.0,49.0,34.0,56.0,38,76
store_3,2021-05-25,20.0,48.0,70.0,70.0,86.0,96.0,66.0,70.0,12.0,8.0,53,33
store_4,2021-05-25,84.0,324.0,208.0,208.0,216.0,346.0,132.0,208.0,104.0,156.0,233,9
store_5,2021-05-25,207.0,634.0,426.0,426.0,384.0,647.0,177.0,426.0,306.0,220.0,341,424
store_6,2021-05-25,87.0,254.0,279.0,279.0,311.0,365.0,224.0,279.0,28.0,80.0,149,195
store_7,2021-05-25,172.0,410.0,514.0,514.0,602.0,725.0,430.0,514.0,180.0,66.0,201,312
store_8,2021-05-25,65.0,248.0,206.0,206.0,266.0,374.0,201.0,206.0,98.0,118.0,165,78
store_9,2021-05-25,162.0,510.0,466.0,466.0,461.0,569.0,299.0,466.0,30.0,186.0,49,364
store_0,2021-05-26,57.0,286.0,213.0,213.0,370.0,571.0,313.0,213.0,230.0,172.0,11,224
store_1,2021-05-26,48.0,394.0,124.0,124.0,150.0,345.0,102.0,124.0,92.0,298.0,177,194
store_2,2021-05-26,11.0,64.0,41.0,41.0,84.0,140.0,73.0,41.0,70.0,42.0,12,81
store_3,2021-05-26,10.0,70.0,30.0,30.0,43.0,81.0,33.0,30.0,26.0,50.0,30,29
store_4,2021-05-26,54.0,124.0,143.0,143.0,281.0,446.0,227.0,143.0,314.0,16.0,185,195
store_5,2021-05-26,32.0,252.0,262.0,262.0,586.0,838.0,554.0,262.0,316.0,188.0,209,184
store_6,2021-05-26,101.0,320.0,204.0,204.0,187.0,328.0,86.0,204.0,164.0,118.0,89,144
store_7,2021-05-26,159.0,464.0,529.0,529.0,603.0,698.0,444.0,529.0,44.0,146.0,430,112
store_8,2021-05-26,161.0,392.0,351.0,351.0,244.0,304.0,83.0,351.0,50.0,70.0,34,5
store_9,2021-05-26,23.0,400.0,158.0,158.0,346.0,622.0,323.0,158.0,198.0,354.0,143,115
store_0,2021-05-27,48.0,366.0,152.0,152.0,278.0,531.0,230.0,152.0,236.0,270.0,256,153
store_1,2021-05-27,67.0,304.0,209.0,209.0,261.0,390.0,194.0,209.0,88.0,170.0,88,51
store_2,2021-05-27,35.0,106.0,96.0,96.0,93.0,117.0,58.0,96.0,12.0,36.0,9,15
store_3,2021-05-27,21.0,68.0,51.0,51.0,56.0,86.0,35.0,51.0,34.0,26.0,15,8
store_4,2021-05-27,28.0,230.0,145.0,145.0,255.0,391.0,227.0,145.0,98.0,174.0,253,70
store_5,2021-05-27,127.0,666.0,361.0,361.0,383.0,631.0,256.0,361.0,84.0,412.0,244,99
store_6,2021-05-27,53.0,202.0,193.0,193.0,284.0,389.0,231.0,193.0,114.0,96.0,35,112
store_7,2021-05-27,79.0,368.0,199.0,199.0,402.0,748.0,323.0,199.0,482.0,210.0,219,463
store_8,2021-05-27,19.0,136.0,133.0,133.0,297.0,434.0,278.0,133.0,176.0,98.0,145,156
store_9,2021-05-27,158.0,366.0,418.0,418.0,489.0,641.0,331.0,418.0,254.0,50.0,167,12
store_0,2021-05-28,139.0,446.0,379.0,379.0,373.0,489.0,234.0,379.0,64.0,168.0,236,73
store_1,2021-05-28,87.0,222.0,253.0,253.0,326.0,431.0,239.0,253.0,162.0,48.0,11,45
store_2,2021-05-28,18.0,88.0,66.0,66.0,89.0,126.0,71.0,66.0,22.0,52.0,53,67
store_3,2021-05-28,23.0,70.0,47.0,47.0,49.0,85.0,26.0,47.0,48.0,24.0,30,52
store_4,2021-05-28,78.0,192.0,227.0,227.0,307.0,412.0,229.0,227.0,174.0,36.0,155,226
store_5,2021-05-28,201.0,794.0,456.0,456.0,340.0,567.0,139.0,456.0,62.0,392.0,71,323
store_6,2021-05-28,22.0,204.0,126.0,126.0,248.0,390.0,226.0,126.0,124.0,160.0,86,60
store_7,2021-05-28,99.0,374.0,403.0,403.0,581.0,741.0,482.0,403.0,144.0,176.0,2,277
store_8,2021-05-28,51.0,254.0,144.0,144.0,217.0,375.0,166.0,144.0,164.0,152.0,135,247
store_9,2021-05-28,171.0,584.0,422.0,422.0,371.0,532.0,200.0,422.0,80.0,242.0,215,175
store_0,2021-05-29,55.0,406.0,165.0,165.0,264.0,511.0,209.0,165.0,198.0,296.0,87,231
store_1,2021-05-29,75.0,258.0,227.0,227.0,293.0,411.0,218.0,227.0,128.0,108.0,114,66
store_2,2021-05-29,38.0,138.0,83.0,83.0,61.0,101.0,23.0,83.0,18.0,62.0,36,0
store_3,2021-05-29,21.0,58.0,52.0,52.0,60.0,87.0,39.0,52.0,38.0,16.0,23,2
store_4,2021-05-29,46.0,214.0,178.0,178.0,279.0,401.0,233.0,178.0,122.0,122.0,20,192
store_5,2021-05-29,10.0,682.0,133.0,133.0,264.0,623.0,254.0,133.0,56.0,662.0,98,46
store_6,2021-05-29,112.0,286.0,249.0,249.0,239.0,347.0,127.0,249.0,154.0,62.0,47,198
store_7,2021-05-29,212.0,742.0,472.0,472.0,355.0,561.0,143.0,472.0,94.0,318.0,340,288
store_8,2021-05-29,131.0,340.0,265.0,265.0,213.0,328.0,82.0,265.0,152.0,78.0,58,193
store_9,2021-05-29,151.0,444.0,431.0,431.0,469.0,600.0,318.0,431.0,120.0,142.0,363,97
store_0,2021-05-30,112.0,414.0,357.0,357.0,395.0,507.0,283.0,357.0,34.0,190.0,14,252
store_1,2021-05-30,17.0,216.0,76.0,76.0,222.0,434.0,205.0,76.0,242.0,182.0,247,0
store_2,2021-05-30,21.0,90.0,63.0,63.0,83.0,127.0,62.0,63.0,40.0,48.0,40,52
store_3,2021-05-30,16.0,72.0,39.0,39.0,46.0,82.0,30.0,39.0,32.0,40.0,13,57
store_4,2021-05-30,15.0,90.0,122.0,122.0,316.0,463.0,301.0,122.0,234.0,60.0,184,21
store_5,2021-05-30,92.0,450.0,384.0,384.0,549.0,739.0,457.0,384.0,114.0,266.0,367,200
store_6,2021-05-30,14.0,90.0,136.0,136.0,322.0,445.0,308.0,136.0,184.0,62.0,131,42
store_7,2021-05-30,25.0,358.0,233.0,233.0,494.0,751.0,469.0,233.0,206.0,308.0,411,123
store_8,2021-05-30,72.0,182.0,254.0,254.0,340.0,407.0,268.0,254.0,96.0,38.0,201,26
store_9,2021-05-30,69.0,424.0,314.0,314.0,445.0,612.0,376.0,314.0,48.0,286.0,201,145
store_0,2021-05-31,4.0,278.0,118.0,118.0,332.0,575.0,328.0,118.0,216.0,270.0,34,336
store_1,2021-05-31,41.0,92.0,230.0,230.0,414.0,496.0,373.0,230.0,154.0,10.0,78,143
store_2,2021-05-31,1.0,28.0,20.0,20.0,90.0,156.0,89.0,20.0,106.0,26.0,56,68
store_3,2021-05-31,12.0,50.0,42.0,42.0,64.0,93.0,52.0,42.0,32.0,26.0,9,55
store_4,2021-05-31,64.0,246.0,204.0,204.0,271.0,385.0,207.0,204.0,110.0,118.0,94,115
store_5,2021-05-31,162.0,604.0,333.0,333.0,351.0,662.0,189.0,333.0,342.0,280.0,417,470
store_6,2021-05-31,34.0,218.0,144.0,144.0,247.0,383.0,213.0,144.0,122.0,150.0,102,196
store_7,2021-05-31,102.0,254.0,293.0,293.0,529.0,803.0,427.0,293.0,498.0,50.0,127,133
store_8,2021-05-31,53.0,232.0,231.0,231.0,311.0,382.0,258.0,231.0,16.0,126.0,34,104
store_9,2021-05-31,3.0,76.0,138.0,138.0,509.0,786.0,506.0,138.0,484.0,70.0,224,246
store_0,2021-06-01,16.0,186.0,131.0,131.0,379.0,621.0,363.0,131.0,330.0,154.0,38,233
store_1,2021-06-01,77.0,282.0,245.0,245.0,298.0,401.0,221.0,245.0,78.0,128.0,109,45
store_2,2021-06-01,27.0,114.0,59.0,59.0,60.0,113.0,33.0,59.0,46.0,60.0,82,70
store_3,2021-06-01,12.0,102.0,24.0,24.0,20.0,67.0,8.0,24.0,16.0,78.0,7,44
store_4,2021-06-01,12.0,216.0,130.0,130.0,264.0,400.0,252.0,130.0,80.0,192.0,55,212
store_5,2021-06-01,44.0,520.0,91.0,91.0,269.0,704.0,225.0,91.0,438.0,432.0,295,9
store_6,2021-06-01,66.0,268.0,163.0,163.0,208.0,356.0,142.0,163.0,160.0,136.0,32,219
store_7,2021-06-01,15.0,140.0,163.0,163.0,543.0,860.0,528.0,163.0,524.0,110.0,331,138
store_8,2021-06-01,83.0,206.0,234.0,234.0,298.0,397.0,215.0,234.0,158.0,40.0,184,161
store_9,2021-06-01,146.0,556.0,421.0,421.0,410.0,548.0,264.0,421.0,12.0,264.0,214,339
store_0,2021-06-02,99.0,202.0,409.0,409.0,567.0,615.0,468.0,409.0,92.0,4.0,59,121
store_1,2021-06-02,54.0,138.0,274.0,274.0,421.0,471.0,367.0,274.0,70.0,30.0,16,185
store_2,2021-06-02,61.0,134.0,130.0,130.0,87.0,103.0,26.0,130.0,20.0,12.0,18,11
store_3,2021-06-02,24.0,80.0,57.0,57.0,52.0,78.0,28.0,57.0,20.0,32.0,22,51
store_4,2021-06-02,32.0,380.0,85.0,85.0,118.0,320.0,86.0,85.0,88.0,316.0,75,197
store_5,2021-06-02,51.0,440.0,202.0,202.0,413.0,744.0,362.0,202.0,324.0,338.0,322,346
store_6,2021-06-02,36.0,234.0,141.0,141.0,232.0,371.0,196.0,141.0,116.0,162.0,2,64
store_7,2021-06-02,134.0,558.0,317.0,317.0,369.0,651.0,235.0,317.0,274.0,290.0,358,348
store_8,2021-06-02,91.0,206.0,263.0,263.0,319.0,397.0,228.0,263.0,132.0,24.0,245,28
store_9,2021-06-02,44.0,344.0,172.0,172.0,368.0,652.0,324.0,172.0,312.0,256.0,157,235
store_0,2021-06-03,11.0,322.0,160.0,160.0,345.0,553.0,334.0,160.0,116.0,300.0,181,5
store_1,2021-06-03,77.0,308.0,227.0,227.0,268.0,390.0,191.0,227.0,90.0,154.0,122,38
store_2,2021-06-03,5.0,78.0,44.0,44.0,84.0,129.0,79.0,44.0,22.0,68.0,32,52
store_3,2021-06-03,21.0,72.0,63.0,63.0,65.0,82.0,44.0,63.0,4.0,30.0,19,43
store_4,2021-06-03,64.0,146.0,151.0,151.0,269.0,437.0,205.0,151.0,318.0,18.0,16,58
store_5,2021-06-03,180.0,530.0,367.0,367.0,403.0,697.0,223.0,367.0,418.0,170.0,62,23
store_6,2021-06-03,109.0,372.0,235.0,235.0,185.0,304.0,76.0,235.0,84.0,154.0,135,63
store_7,2021-06-03,7.0,136.0,378.0,378.0,768.0,862.0,761.0,378.0,66.0,122.0,72,164
store_8,2021-06-03,59.0,316.0,199.0,199.0,231.0,340.0,172.0,199.0,20.0,198.0,133,44
store_9,2021-06-03,113.0,284.0,379.0,379.0,535.0,680.0,422.0,379.0,232.0,58.0,134,194
store_0,2021-06-04,74.0,236.0,171.0,171.0,336.0,596.0,262.0,171.0,432.0,88.0,222,211
store_1,2021-06-04,108.0,440.0,229.0,229.0,172.0,322.0,64.0,229.0,76.0,224.0,79,77
store_2,2021-06-04,46.0,114.0,100.0,100.0,83.0,115.0,37.0,100.0,42.0,22.0,36,60
store_3,2021-06-04,12.0,92.0,36.0,36.0,36.0,70.0,24.0,36.0,0.0,68.0,57,12
store_4,2021-06-04,102.0,342.0,271.0,271.0,252.0,337.0,150.0,271.0,32.0,138.0,193,227
store_5,2021-06-04,117.0,348.0,400.0,400.0,592.0,792.0,475.0,400.0,286.0,114.0,51,251
store_6,2021-06-04,57.0,132.0,185.0,185.0,306.0,422.0,249.0,185.0,214.0,18.0,100,28
store_7,2021-06-04,157.0,420.0,493.0,493.0,590.0,718.0,433.0,493.0,150.0,106.0,72,135
store_8,2021-06-04,41.0,172.0,151.0,151.0,274.0,414.0,233.0,151.0,190.0,90.0,195,147
store_9,2021-06-04,71.0,326.0,268.0,268.0,446.0,661.0,375.0,268.0,246.0,184.0,2,174
store_0,2021-06-05,67.0,366.0,231.0,231.0,339.0,533.0,272.0,231.0,156.0,232.0,170,266
store_1,2021-06-05,96.0,320.0,294.0,294.0,309.0,382.0,213.0,294.0,18.0,128.0,41,20
store_2,2021-06-05,34.0,68.0,80.0,80.0,97.0,136.0,63.0,80.0,78.0,0.0,24,32
store_3,2021-06-05,7.0,68.0,30.0,30.0,48.0,84.0,41.0,30.0,18.0,54.0,7,44
store_4,2021-06-05,124.0,318.0,273.0,273.0,244.0,349.0,120.0,273.0,140.0,70.0,73,24
store_5,2021-06-05,64.0,430.0,271.0,271.0,475.0,751.0,411.0,271.0,250.0,302.0,112,367
store_6,2021-06-05,56.0,194.0,245.0,245.0,337.0,393.0,281.0,245.0,30.0,82.0,115,44
store_7,2021-06-05,68.0,370.0,180.0,180.0,392.0,745.0,324.0,180.0,472.0,234.0,352,280
store_8,2021-06-05,87.0,238.0,201.0,201.0,245.0,381.0,158.0,201.0,208.0,64.0,92,210
store_9,2021-06-05,123.0,406.0,370.0,370.0,456.0,621.0,333.0,370.0,170.0,160.0,76,255
store_0,2021-06-06,96.0,330.0,295.0,295.0,390.0,547.0,294.0,295.0,176.0,138.0,278,288
store_1,2021-06-06,94.0,212.0,338.0,338.0,409.0,436.0,315.0,338.0,30.0,24.0,85,261
store_2,2021-06-06,28.0,96.0,90.0,90.0,99.0,122.0,71.0,90.0,6.0,40.0,42,39
store_3,2021-06-06,31.0,66.0,75.0,75.0,70.0,85.0,39.0,75.0,26.0,4.0,58,3
store_4,2021-06-06,83.0,246.0,224.0,224.0,271.0,383.0,188.0,224.0,144.0,80.0,83,86
store_5,2021-06-06,299.0,892.0,609.0,609.0,346.0,518.0,47.0,609.0,50.0,294.0,392,432
store_6,2021-06-06,11.0,270.0,110.0,110.0,209.0,355.0,198.0,110.0,44.0,248.0,216,6
store_7,2021-06-06,9.0,188.0,231.0,231.0,592.0,834.0,583.0,231.0,314.0,170.0,33,116
store_8,2021-06-06,64.0,248.0,190.0,190.0,252.0,376.0,188.0,190.0,128.0,120.0,149,134
store_9,2021-06-06,62.0,386.0,243.0,243.0,400.0,631.0,338.0,243.0,200.0,262.0,208,39
store_0,2021-06-07,1.0,82.0,182.0,182.0,497.0,673.0,496.0,182.0,272.0,80.0,72,97
store_1,2021-06-07,59.0,198.0,208.0,208.0,321.0,443.0,262.0,208.0,164.0,80.0,202,10
store_2,2021-06-07,9.0,58.0,21.0,21.0,68.0,141.0,59.0,21.0,106.0,40.0,41,57
store_3,2021-06-07,7.0,18.0,36.0,36.0,79.0,109.0,72.0,36.0,56.0,4.0,22,6
store_4,2021-06-07,57.0,324.0,184.0,184.0,219.0,346.0,162.0,184.0,44.0,210.0,164,123
store_5,2021-06-07,24.0,340.0,211.0,211.0,498.0,792.0,474.0,211.0,296.0,292.0,202,301
store_6,2021-06-07,70.0,244.0,201.0,201.0,254.0,368.0,184.0,201.0,124.0,104.0,192,243
store_7,2021-06-07,340.0,858.0,691.0,691.0,386.0,499.0,46.0,691.0,48.0,178.0,362,23
store_8,2021-06-07,9.0,78.0,51.0,51.0,252.0,459.0,243.0,51.0,354.0,60.0,235,167
store_9,2021-06-07,109.0,354.0,450.0,450.0,576.0,647.0,467.0,450.0,6.0,136.0,47,361
store_0,2021-06-08,98.0,436.0,239.0,239.0,281.0,498.0,183.0,239.0,194.0,240.0,109,344
store_1,2021-06-08,90.0,326.0,211.0,211.0,229.0,379.0,139.0,211.0,154.0,146.0,229,230
